category,coreset_size_ratio,coreset_size_patches,method,image_auroc,memory_efficiency,representativeness,compression_ratio
bottle,0.005,1,random_knn,0.9265,0.0048,0.1872,0.0048
bottle,0.005,1,variance_weighted_knn,0.9405,0.0048,0.1666,0.0048
bottle,0.01,2,random_knn,0.9238,0.0096,0.1827,0.0096
bottle,0.01,2,variance_weighted_knn,0.9144,0.0096,0.1725,0.0096
bottle,0.05,10,random_knn,0.9113,0.0478,0.2311,0.0478
bottle,0.05,10,variance_weighted_knn,0.9225,0.0478,0.2084,0.0478
cable,0.005,1,random_knn,0.9209,0.0045,0.1287,0.0045
cable,0.005,1,variance_weighted_knn,0.9073,0.0045,0.1016,0.0045
cable,0.01,2,random_knn,0.9218,0.0089,0.1396,0.0089
cable,0.01,2,variance_weighted_knn,0.9342,0.0089,0.1114,0.0089
cable,0.05,11,random_knn,0.9244,0.0491,0.1464,0.0491
cable,0.05,11,variance_weighted_knn,0.9445,0.0491,0.1348,0.0491
hazelnut,0.005,1,random_knn,0.9219,0.0026,0.161,0.0026
hazelnut,0.005,1,variance_weighted_knn,0.9067,0.0026,0.0855,0.0026
hazelnut,0.01,3,random_knn,0.9298,0.0077,0.1692,0.0077
hazelnut,0.01,3,variance_weighted_knn,0.9385,0.0077,0.115,0.0077
hazelnut,0.05,19,random_knn,0.9346,0.0486,0.1883,0.0486
hazelnut,0.05,19,variance_weighted_knn,0.9181,0.0486,0.145,0.0486
leather,0.005,1,random_knn,0.9321,0.0041,0.2501,0.0041
leather,0.005,1,variance_weighted_knn,0.9353,0.0041,0.2303,0.0041
leather,0.01,2,random_knn,0.9258,0.0082,0.262,0.0082
leather,0.01,2,variance_weighted_knn,0.9274,0.0082,0.2396,0.0082
leather,0.05,12,random_knn,0.9214,0.049,0.3244,0.049
leather,0.05,12,variance_weighted_knn,0.9277,0.049,0.2974,0.049
screw,0.005,1,random_knn,0.9355,0.0031,0.2,0.0031
screw,0.005,1,variance_weighted_knn,0.9378,0.0031,0.1772,0.0031
screw,0.01,3,random_knn,0.947,0.0094,0.2443,0.0094
screw,0.01,3,variance_weighted_knn,0.9254,0.0094,0.2003,0.0094
screw,0.05,16,random_knn,0.9311,0.05,0.2763,0.05
screw,0.05,16,variance_weighted_knn,0.9262,0.05,0.2611,0.05
