category,search_method,pq_bits,nprobe,image_auroc,memory_mb,search_time_ms,speedup,memory_reduction,accuracy_loss_percent
bottle,exact_knn,,,0.5722,0.41,0.4274,1.0,1.0,0.0
bottle,faiss_ivfpq,4.0,1.0,0.519,0.05,0.0085,50.42,8.0,5.32
bottle,faiss_ivfpq,4.0,4.0,0.6548,0.05,0.0076,56.11,8.0,0.0
bottle,faiss_ivfpq,4.0,8.0,0.6548,0.05,0.007,60.71,8.0,0.0
bottle,faiss_ivfpq,4.0,16.0,0.6548,0.05,0.0072,59.23,8.0,0.0
cable,exact_knn,,,0.401,0.44,0.6388,1.0,1.0,0.0
cable,faiss_ivfpq,4.0,1.0,0.4751,0.05,0.0059,108.64,8.0,0.0
cable,faiss_ivfpq,4.0,4.0,0.5883,0.05,0.0071,90.47,8.0,0.0
cable,faiss_ivfpq,4.0,8.0,0.5868,0.05,0.0065,98.33,8.0,0.0
cable,faiss_ivfpq,4.0,16.0,0.5868,0.05,0.0101,63.35,8.0,0.0
hazelnut,exact_knn,,,0.5543,0.76,1.0609,1.0,1.0,0.0
hazelnut,faiss_ivfpq,4.0,1.0,0.5071,0.1,0.0074,143.09,8.0,4.71
hazelnut,faiss_ivfpq,4.0,4.0,0.51,0.1,0.0076,139.62,8.0,4.43
hazelnut,faiss_ivfpq,4.0,8.0,0.5104,0.1,0.0065,162.35,8.0,4.39
hazelnut,faiss_ivfpq,4.0,16.0,0.5104,0.1,0.0086,123.89,8.0,4.39
hazelnut,faiss_ivfpq,8.0,1.0,0.5271,0.19,0.0125,84.76,4.0,2.71
hazelnut,faiss_ivfpq,8.0,4.0,0.5279,0.19,0.0143,74.22,4.0,2.64
hazelnut,faiss_ivfpq,8.0,8.0,0.5157,0.19,0.0152,69.79,4.0,3.86
hazelnut,faiss_ivfpq,8.0,16.0,0.5318,0.19,0.0166,63.99,4.0,2.25
leather,exact_knn,,,0.6406,0.48,0.6441,1.0,1.0,0.0
leather,faiss_ivfpq,4.0,1.0,0.2401,0.06,0.0072,89.36,8.0,40.05
leather,faiss_ivfpq,4.0,4.0,0.5194,0.06,0.0063,102.44,8.0,12.13
leather,faiss_ivfpq,4.0,8.0,0.52,0.06,0.0064,100.66,8.0,12.06
leather,faiss_ivfpq,4.0,16.0,0.52,0.06,0.0078,82.76,8.0,12.06
screw,exact_knn,,,0.4747,0.62,0.8568,1.0,1.0,0.0
screw,faiss_ivfpq,4.0,1.0,0.4735,0.08,0.0065,130.98,8.0,0.12
screw,faiss_ivfpq,4.0,4.0,0.4571,0.08,0.0069,124.95,8.0,1.76
screw,faiss_ivfpq,4.0,8.0,0.4571,0.08,0.0089,96.64,8.0,1.76
screw,faiss_ivfpq,4.0,16.0,0.4571,0.08,0.0106,80.98,8.0,1.76
screw,faiss_ivfpq,8.0,1.0,0.3788,0.16,0.0218,39.32,4.0,9.59
screw,faiss_ivfpq,8.0,4.0,0.4798,0.16,0.015,57.17,4.0,0.0
screw,faiss_ivfpq,8.0,8.0,0.4132,0.16,0.0231,37.03,4.0,6.15
screw,faiss_ivfpq,8.0,16.0,0.4198,0.16,0.0203,42.22,4.0,5.49
